App;MedianMemory_MB;Pct95_Median_MB;Pct99_Median_MB;MeanSampleCount;SpikeFlag;LowSamplesFlag;AlwaysHighFlag
30b51e27a33b0c18f737543b1d380a104591d7b888d29183938ae41ef8a5f951;97.0;95.0;194.0;353.0;True;False;False
c3c51641edf5eb4ffc447817d03d2bcbfce7fce593c449aa205d6e6d845d91b0;92.0;102.0;206.0;616.0;True;False;False
7e858ecd8728fe5ffcf17f9c453ccca19a7bb34d156c15ae6fc3f1c36092f3f8;92.0;103.0;236.0;557.0;True;False;False
894239638ac4ec2c6c259adb0cc762ed86f1fc3d5ee0201c66a134f911fe294e;91.0;89.0;213.0;264.0;True;False;False
5e56f77cc42f3b5d9392316cf60ffa8d0a0832013d03c4a970e14cab1958a044;89.0;89.0;203.0;304.0;True;False;False
2862068b7a37916af2ba04f98b0034275aaa17eb4185e31d3b8802bec9fd0867;88.0;94.0;210.0;908.0;True;False;False
00b75c70145f4932388658d201c623572f3b05bdca6d0cb829d28f5365a19e3e;84.0;91.0;190.0;341.0;True;False;False
bd35c5fc19219ff09b493a045695512d3dced53e365a4047daf6379eaab0abad;1366.0;1367.0;1367.0;17245.714285714286;False;False;True
07a217a2813f9196d75ba1f5b1dea208f89b4113123eaa338326a3f8876fae99;1130.5;1393.5;1438.5;39058.166666666664;False;False;True
1055ce9522214dfedb4d8571b02849b3496521b9b5840fc9d1fa7d4bf472e601;1097.0;1181.0;1245.0;5610.0;False;False;True
911242ef93348b8eb9c33475afac73cc18f87ce4707510a6312bcf91c161f5b9;1048.0;1304.0;1305.0;667.0;False;False;True
60393a5c156c1905114e7104d51cff90fbf6ca7068c96492a18ff1dd13e5becc;991.5;1473.5;1513.0;16414.5;False;False;True
38d83139ee29a31131a033865f3ef7f1e9f35034e6271328f74204943f9eccfb;986.5;1400.5;1406.5;2110.0;False;False;True
93147c26bad175e99e0911bf3bf3c4100528aba2df92ebdde7f9a7c24ad938f5;974.0;1015.0;1030.0;599.5;False;False;True
6267277a3b45fd33fd0ec553640d4c7e346468739a2c63171e844d8103fe8122;950.5;1007.0;1009.5;17277.416666666668;False;False;True
ef772dfef479f860c994db2efbf393b2ddd2cbbc4ccaf60cd614c67859b5c4dc;939.0;1037.0;1037.0;269.0;False;False;True
5d717bfcb7a9c4ce806f6fdd4c3fc80e6fef23b9e37765a107a3bb2e01f89983;933.0;1069.0;1069.0;247.0;False;False;True
b02b88a988c6f7a921f0bbb932ebe4a5c653e1887d54ce8d68a73fd32c02b2cb;922.5;1458.5;1524.0;4322.25;False;False;True
a7108319b1af61706548ef4aefd49d950025d8cbbad7fa6f6075b40d94c9a132;920.5;1049.0;1064.5;17247.25;False;False;True
6dfd3ffbc4083c0b3b61802b17e93be563c57cd9ddc5453a32aaefe478a5a438;920.0;1105.0;1112.5;15105.875;False;False;True
30f03b2a09075346146a307fbd5a0c82e0021214a1dfdda05e8168f205751501;918.5;1003.5;1006.0;17256.166666666668;False;False;True
ab843a8367234a989284a7e9a81dda1d277611b39609061b02a388b24cab77e9;914.0;1427.0;1497.0;16886.083333333332;False;False;True
a1423708e8fb6874909cae353ba603e3ba787642e6db95428ac0e918546e2f31;912.5;1161.0;1177.0;12719.0;False;False;True
b19d50f9c4338e118da8f75c4e0356ea34639eb2b6863d25bbe72d69b1ebad67;903.0;1013.0;1042.5;277.8333333333333;False;False;True
4eab68a9d37bfbad24fea6c5f1ae6fce8c846618c032601ee4d01d0e4dfbe7ab;901.0;1437.5;1507.5;17098.916666666668;False;False;True
55bb2701596bf92e70afab539a070a1ee0c999400c4bbe980644041c6a46c573;882.5;1445.0;1521.5;1188.8333333333333;False;False;True
ba39f2cf629cb7d096315bc681ff3a350a4283382483997121fa0b5c43de4ac4;881.0;1440.5;1505.5;17168.666666666668;False;False;True
